"","CNS","Crystal cells","Dorsal vessel","Epidermis","Fatbody","Gastric caecum","Germ cells","Glia","Malphigian tubules","Midgut","Muscle","Plasmocytes","PNS","Ring glands","Salivary glands","Trachea"
"Suv3",0.0805983326767559,0.00520414833071738,0.0873199854599816,0.0357549564766237,0.175285265752343,0.333403173904872,0.148001356491075,0.098379084405738,0.177474839917907,0.20318055415408,0.114042259088669,0.0881966409250273,0.0463061827629019,0.0623794328278139,0.00866646502691371,0.010529686447645
"Syt14",0.149985085383652,0,0.0117424790131587,0.022593926123605,0.00652649249187764,0,0.013153874122224,0.0363056773230214,0.0023550481735017,0.00454285289595811,0.00586557336609389,0.0194279729373026,0.129058060324845,0.0393622244220422,0,0.00937050017975122
"CG9795",0.375735863869343,0.0371057232839965,0.238521747637908,0.207742785758962,0.0595094261837185,0.0535940419482034,0.159006397360425,0.218801322595235,0.0815597206969508,0.0569104545330385,0.049124595727804,0.184411349376511,0.387293048314019,0.141097725475305,0.263631554825605,0.162372610297419
"CG9776",0.46236916985149,0.0176909275223729,0.271051916673995,0.0919615687719665,0.333105125010756,0.46949721317369,0.469993996430252,0.213947315553282,0.509677544147969,0.401447194091822,0.111563379676753,0.130437536215976,0.208117777316336,0.328298343253345,0.251217124938638,0.0384263006028153
"Skp2",0.168906777070232,0.00569421604311205,0.289265906534216,0.0506781372355466,0.28182121700577,0.236181331903198,0.263039514124214,0.18287682492673,0.08162235822393,0.206684806563343,0.0146359126159304,0.0841050692276702,0.0589878291117736,0.0774877146479762,0,0.025563335214504
"CG14645",0,0,0,0,0,0,0.00708648918318291,0,0,0.000356357902500193,0,0,0.00102821345752507,0,0,0
"CG1103",0.398214613179811,0.483781244958732,0.817279218895764,0.865113149311787,0.077225911766246,0.0559658304689359,0.662336494736176,0.999937760479999,0.212627851200933,0.0785601101313479,0.0767938012771312,0.92669933446348,1.10698022968297,0.508708235350755,0,0.155204584562609
"hkb",0.192282023723639,0,0.00819142786703387,0.000546200455790851,0.00421578489285899,0,0,0.014272727640513,0.00258919215235654,0.000836022241194158,0.00202754777072844,0,0.033289679743022,0,0,0.00517785579285544
"CG1090",0.769796000723365,0.015497494365111,0.0225031817284919,0.0525040875100227,0.0279775534718791,0.00153157932784497,0.00650105319864517,0.142355732430339,0.00860788327715334,0.00865826344917063,0.0146459937699346,0.0297869384765953,0.365584814255126,0.0290910760272645,0,0.0138427507682075
"CR44922",0.0496210641710588,0,0.0041060460295972,0.000428216009283723,0.00183454015853489,0,0,0.0129339682492909,0,0,0.00185560085283415,0,0.009965343487116,0,0,0
"Sfxn1-3",1.3014898860599,0.303315323199848,0.50777975968633,0.428601397264032,2.81831314683066,1.23845828127118,0.802265615949839,0.599320074244807,0.842768131112853,0.96804958050625,0.322149172534501,2.11149714551331,0.397033906334154,0.104209700773108,0.107134354429748,0.187504946789701
"Cont",0.238761229195064,0,0.202180520070982,1.26702716328228,0.0515768197932157,0.0437951602638218,0.726424670429836,3.10725508033199,0.0180240427529855,0.027517319427709,0.0408733865045717,0.184625724102203,1.67430797064323,0.0778385544746784,0.0901080784915199,0.659786463696523
"tub",0.233023518676585,0.025342710197899,0.21623127736528,0.125298514956016,0.221260621369678,0.1331879028216,0.427973741514643,0.21526305946376,0.049402151795682,0.13946389493402,0.0162010619346436,0.192032933966669,0.224130498276827,0.240031399087555,0.00866646502691371,0.0526535578559929
