"","fb_gene_id","log2FoldChange","pvalue","padj","wt_2to4h","wt_14to17h"
"53","FBgn0000147",3.0591975784071,2.19958302784117e-154,2.22435170357961e-153,88.9758697061328,10.0846924709841
"54","FBgn0000150",1.2506192323619,1.97878713837738e-30,5.1205330824376e-30,955.011309979411,376.361969681965
"55","FBgn0000152",1.83432441719268,1.89657227018296e-18,4.01857181272332e-18,7.88552888535598,2.08227258226218
"56","FBgn0000153",-2.47262843078459,1.94600855576516e-16,3.94870771177642e-16,0.823303553485239,4.22062581440024
"57","FBgn0000157",0.579106017082939,6.82739585070627e-06,1.06196498205049e-05,3.28413556824417,2.06195642568213
"58","FBgn0000158",1.88632676715783,1.12636712937641e-23,2.6280059216284e-23,28.503056489672,7.23878841171923
"59","FBgn0000163",1.36835850918788,1.29144919883046e-66,5.38411769637961e-66,21.6585364443257,7.91054116795712
"60","FBgn0000166",0.458133579303483,0.00161884003199915,0.00228616524744494,30.8441031378864,21.122147133258
"61","FBgn0000173",1.37616518840107,3.7895014135711e-90,2.06449029700045e-89,182.543674696087,66.0643762684203
"62","FBgn0000179",-3.80476931974071,4.43757434358139e-38,1.29578985791408e-37,0.0664484403075892,0.889099465536593
"63","FBgn0000180",5.4884182917732,0,0,99.0061156817719,2.08730490341062
"64","FBgn0000181",0.103190247620318,0.259713549776935,0.307653042746379,1036.05085542744,903.941214647391
"65","FBgn0000182",3.42738877507168,5.5024698075516e-05,8.30108466793759e-05,3.27714740268365,0.293844863892315
"66","FBgn0000183",-1.1280413982544,2.52832007584054e-75,1.164576850417e-74,8.60482216311505,17.7044262066348
"67","FBgn0000206",-5.31178499026108,3.07777446334735e-20,6.76949192269514e-20,0.0584902368041191,1.89922631980542
"68","FBgn0000212",1.68477389639573,5.66591960139165e-198,8.35781673432555e-197,139.690125134389,40.8714535510204
"69","FBgn0000216",7.26405643471091,5.43359540184977e-281,1.59642610582331e-279,777.144725419515,4.69219389919279
"70","FBgn0000221",1.90556802601377,1.88903212296213e-34,5.22134914513671e-34,21.2643925791435,5.36568418401554
"71","FBgn0000227",10.1816265117637,4.63270432275677e-235,9.2647598073731e-234,433.331638606577,0.362247009261323
"72","FBgn0000228",3.41333507873531,0,0,249.162961988267,22.039685912974
"73","FBgn0000229",-0.451790084354759,2.46068471053131e-08,4.12589443185493e-08,52.7119235457467,67.6063605401506
"74","FBgn0000233",3.20825165866869,4.33501953794231e-143,3.94517170059135e-142,22.031264743843,2.25147929178769
"75","FBgn0000239",1.17840675856251,1.29257563789602e-52,4.60037077106614e-52,103.54350410496,43.0494357943103
"76","FBgn0000241",-1.62965170370971,8.8379766790853e-17,1.80850485813498e-16,0.884475021911056,2.57857284897298
"77","FBgn0000244",-6.35845117618041,0,0,1.41449934091277,112.342725566327
"78","FBgn0000246",1.41208099380886,1.91522775352665e-17,3.97320021685415e-17,29.3699239088294,10.3875341671257
"79","FBgn0000247",-1.46887031214918,3.03631982520638e-76,1.41315550143813e-75,7.26434794308878,18.8837950012499
"80","FBgn0000250",0.971263585657156,4.10966710272424e-43,1.28378771734411e-42,116.23520787318,55.6666679365253
"81","FBgn0000251",0.0202416738338693,0.814428086258074,0.848554507126283,11.4485425591449,10.6155519465988
"82","FBgn0000253",0.290385449071916,1.63891697883263e-07,2.68526626973621e-07,239.214110355577,183.817262953975
"83","FBgn0000256",-1.48929366736403,2.98838151371987e-29,7.61304186162462e-29,0.628712652371927,1.6711235287516
"84","FBgn0000257",1.43633824257587,1.80428224935835e-34,4.98902909345235e-34,31.6764817493583,11.0341560257153
"85","FBgn0000259",-0.0195567936492212,0.757424895131131,0.800715930819384,40.1237414568931,38.2271478460856
"86","FBgn0000261",-0.737134835145965,5.84999062022529e-27,1.43797583174724e-26,43.0957253114092,67.5567383405786
"87","FBgn0000273",-0.541469853981298,3.95036615034437e-20,8.67137252279281e-20,40.4125701240648,55.3088476618379
"88","FBgn0000274",2.50563863312025,2.53306818705102e-05,3.86800135203738e-05,1.35000832891045,0.223575117311698
"89","FBgn0000276",0.257699330609572,0.924373302788262,0.934253000461042,0.515661504370361,0.34732588845707
"90","FBgn0000277",-1.81187312664006,0.630345718220709,0.686421365827465,0,0.322533680934189
"91","FBgn0000278",-0.65897139831961,0.833648566792701,0.866036223007129,0.0856031472604193,0.180632048164009
"92","FBgn0000279",NA,NA,NA,0,0
"93","FBgn0000280",NA,NA,NA,0,0
"94","FBgn0000281",NA,NA,NA,0,0
"95","FBgn0000283",2.11141673816391,2.88218363612526e-126,2.2185822178023e-125,479.697504652421,104.449331522141
"96","FBgn0000286",-1.39842526132075,3.45298472109582e-51,1.20344566347394e-50,7.12053727932496,17.6726142602723
"97","FBgn0000287",-4.68459560066235,4.01101390886173e-153,4.00792635441824e-152,0.251570319924448,6.34885242343274
"98","FBgn0000289",1.17849462945943,2.55649388480731e-95,1.4713493019413e-94,101.652178063259,42.2628876064158
"99","FBgn0000299",-8.5399045299431,8.43694395516329e-65,3.45387393164497e-64,4.39336704821858,1533.88340845265
"100","FBgn0000303",-5.8421475912667,1.86197641634316e-276,5.24401602543668e-275,0.125363769547944,7.03280024169336
"101","FBgn0000307",1.22703292342219,3.29906697972455e-51,1.15008245613982e-50,58.5298567490043,23.5375921317504
"102","FBgn0000308",0.987385666699714,2.776378465173e-45,8.93283192974432e-45,269.812658794067,127.78566177221
"103","FBgn0000316",2.4063074613373,3.20182149911617e-212,5.32853253914682e-211,229.337189417414,40.7068401843838
"104","FBgn0000317",0.551892092274956,7.54730527474063e-11,1.34929225013173e-10,32.8039418819784,21.1017545980526
"105","FBgn0000318",1.02317256553263,2.11005951096086e-45,6.80278612711903e-45,188.7564748723,87.1907388196241
"106","FBgn0000319",0.314637087846913,0.000206772110422848,0.000304130507285522,213.582221444077,161.921205431005
"107","FBgn0000320",1.40596758837796,1.36285395269064e-25,3.28830543941697e-25,3.36200095021622,1.19697085323463
"108","FBgn0000326",0.877144549818631,1.15681849526353e-26,2.83331240032039e-26,40.7920616186617,20.8426792866386
"109","FBgn0000330",0.9810255245331,6.61496428773759e-26,1.60446874578911e-25,38.1051444728028,18.2089884046839
"110","FBgn0000337",2.00722897274973,1.2475800041069e-10,2.21431881648756e-10,9.2580081382118,2.1672793424194
"111","FBgn0000339",1.07683946550403,3.79443683206564e-47,1.25013298396551e-46,134.851631642585,60.0873342607771
"112","FBgn0000346",-3.42124002153032,4.04408363121534e-222,7.20917230588312e-221,4.25794879575668,42.8706563981191
"113","FBgn0000351",3.64760323473103,5.13978321502822e-19,1.10296009208578e-18,5.22429926562326,0.38779805613143
"114","FBgn0000352",1.60524937370456,2.72559345631737e-92,1.52085771640312e-91,98.5868457389069,30.4711284847586
"115","FBgn0000355",2.00506817844143,0.595172808205726,0.653125770701626,0.12712703985974,0
"116","FBgn0000356",-0.399153820420929,0.916713750874423,0.927167845922643,0,0.0414541282661088
"117","FBgn0000357",2.05243222710747,0.000719312824497171,0.00103486829430681,2.36605311439813,0.535040231070076
"118","FBgn0000358",NA,NA,NA,0,0
"119","FBgn0000359",NA,NA,NA,0,0.00767328280554711
"120","FBgn0000360",-4.17534819479086,0.0198268821446883,0.0262452999113752,0,0.234610264902281
"121","FBgn0000370",-0.688961187046417,3.60997868882278e-24,8.48229154150081e-24,64.6473149199137,98.1515377435673
"122","FBgn0000376",1.22336623642899,1.07508931611846e-33,2.94535693493007e-33,50.4596849420326,20.3052045717419
"123","FBgn0000377",1.84405468041742,1.75467699691647e-116,1.23181085737317e-115,137.846798755145,36.160884896925
"124","FBgn0000382",-1.29649837044525,1.14489806190414e-81,5.71009410615762e-81,6.41916076003881,14.8594219739668
"125","FBgn0000384",0.668226348593674,1.32950960286223e-11,2.41128764375331e-11,18.02337456692,10.6769572639768
"126","FBgn0000392",1.34711809324972,2.47631796066748e-36,7.04790595183794e-36,17.6612393655493,6.53075513994703
"127","FBgn0000394",0.26315115443698,0.00322201236644986,0.00447061651739748,27.5058659480126,21.4760290861953
"128","FBgn0000395",0.216921700142893,0.0123015431142995,0.01650570702209,8.11402859913569,6.55636930457301
"129","FBgn0000404",3.42241526387933,2.42094485286181e-206,3.8197427131507e-205,410.488542318491,36.0440122559326
"130","FBgn0000405",1.97586855038039,1.14030208355424e-56,4.26240142698193e-56,1246.90010245847,297.937270959388
"131","FBgn0000406",-2.71895359399521,1.49709317250056e-160,1.59292052236479e-159,10.9460342113507,68.067586780246
"132","FBgn0000411",2.62241011040128,1.24914931424319e-196,1.81635469023203e-195,168.363743856863,25.6315651180522
"133","FBgn0000412",3.22851334960121,0,0,889.882179676267,89.1509003201257
"134","FBgn0000414",0.834587486164849,7.23152368247081e-24,1.69193718928397e-23,41.5257150943726,21.9123433012277
"135","FBgn0000416",1.60254058924211,9.57894642729064e-307,3.35239647145302e-305,445.794034334443,138.114479560409
"136","FBgn0000422",-7.71520793710378,1.59617444814197e-238,3.2841174272362e-237,0.449045132961028,88.5565034988434
"137","FBgn0000426",3.31548589304378,1.268837539025e-133,1.04184768371121e-132,540.911294450556,50.8607247622262
