"","fb_tx_id","fb_gene_id","fb_symbol","late.tss","late.tu","PI"
"47","FBtr0084106","FBgn0000527","e",2.66488714945617,0.107296702514775,2.5575904469414
"48","FBtr0308617","FBgn0000536","eas",5.01580695168735,2.14343567558921,2.87237127609814
"49","FBtr0112801","FBgn0000542","ec",5.76733116311833,0.357757518244285,5.40957364487404
"50","FBtr0086012","FBgn0000546","EcR",6.37054060831039,1.30780260155059,5.0627380067598
"51","FBtr0077465","FBgn0000547","ed",5.09575523754198,0.481580804956378,4.6141744325856
"52","FBtr0344634","FBgn0000551","Edg78E",1.98766433813465,1.42294669104629,0.564717647088367
"53","FBtr0078438","FBgn0000560","eg",0.907105452358089,-1.3815698900244,2.28867534238249
"54","FBtr0114586","FBgn0000562","egl",4.30962758370536,1.89415170769844,2.41547587600692
"55","FBtr0075552","FBgn0000565","Eip71CD",4.05856446708764,-0.156294624110021,4.21485909119766
"56","FBtr0075151","FBgn0000568","Eip75B",5.7325203838323,3.59314958702936,2.13937079680294
"57","FBtr0082863","FBgn0000576","ems",3.69449416434408,-0.309201450894224,4.00369561523831
"58","FBtr0088096","FBgn0000577","en",2.81228489255987,-0.493054012474086,3.30533890503396
"59","FBtr0088390","FBgn0000606","eve",2.26500689332208,-0.439507960495049,2.70451485381713
"60","FBtr0087625","FBgn0000633","CG17716",5.33291885068882,0.941239002799617,4.3916798478892
"61","FBtr0070666","FBgn0000635","Fas2",5.78994173204919,1.64808484436729,4.1418568876819
"62","FBtr0301391","FBgn0000636","Fas3",5.21413955751065,2.27161902857155,2.94252052893911
"63","FBtr0086754","FBgn0000658","fj",5.15529858624147,1.41839538577648,3.73690320046499
"64","FBtr0077192","FBgn0000709","fliI",2.54877891226318,0.452884565329004,2.09589434693418
"65","FBtr0071446","FBgn0000711","flw",3.6223023123915,0.343420312456881,3.27888199993462
"66","FBtr0333182","FBgn0000719","fog",2.97359378250006,-0.558794290806281,3.53238807330634
"67","FBtr0082051","FBgn0000723","FER",6.20640611557966,2.31426325949749,3.89214285608217
"68","FBtr0074602","FBgn0001079","fu",3.45133582052414,0.737858253916009,2.71347756660813
"69","FBtr0075743","FBgn0001085","fz",6.28558064031584,1.02552798709253,5.26005265322331
"70","FBtr0073842","FBgn0001087","g",2.64251239362555,0.227468238944931,2.41504415468062
"71","FBtr0100479","FBgn0001091","Gapdh1",2.750291062682,0.824633088541323,1.92565797414068
"72","FBtr0074112","FBgn0001092","Gapdh2",4.81630436685029,2.76756519277248,2.04873917407781
