fb_gene_id,fb_symbol, early_FPKM , late_FPKM , epidermis_FPKM , glia_FPKM , gut_FPKM , muscle_FPKM , neuron_FPKM , trachea_FPKM ,polii.embryo14,polii.embryo17,polii.larvae,polii.epidermis,polii.glia,polii.gut,polii.muscle,polii.neuron,polii.trachea,min_tissue_tss_ratio,max_tissue_tss_ratio,tbp.embryo14,tbp.embryo17,tfiib.embryo14,tfiib.embryo17,tfiif.embryo14,tfiif.embryo17,below_bg_tissues,above_bg_tissues,polii_group_tissues,whole_embryo_pol_status,intact_diff_expression
FBgn0040349,CG3699, 0.7 , 100.7 , 49.8 , 44.4 , 52.5 , 48.3 , 20.8 , 43.3 ,1.97,2.62,1.77,-0.59,-1.20,1.79,0.86,-0.57,-0.07,-1.20,1.79,2.20,0.02,1.09,2.73,1.77,2.21,4,1,Recruitment regulated,Above 2-fold,Yes
FBgn0053512,dpr4, 0.2 , 9.3 , 17.8 , 11.7 , 11.1 , 14.5 , 20.7 , 11.8 ,2.58,5.29,4.56,3.43,3.42,1.24,1.32,4.27,0.87,0.87,4.27,2.26,1.99,-0.13,0.70,0.16,0.30,0,5,Unclassified,Above 2-fold,Yes
FBgn0031955,CG14535, 0.6 , 8.8 , 15.6 , 12.6 , 12.0 , 16.5 , 20.7 , 13.6 ,2.16,4.83,4.07,4.49,3.89,2.79,2.29,4.78,2.78,2.29,4.78,3.61,2.23,1.15,1.17,1.83,0.92,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0037487,CG14608, 0.1 , 21.5 , 26.2 , 26.4 , 21.4 , 19.3 , 25.6 , 21.6 ,1.81,1.50,2.64,3.21,-0.47,2.70,0.19,-0.55,0.70,-0.55,3.21,3.02,0.52,2.07,1.77,2.26,1.24,2,2,Recruitment regulated,Above 2-fold,No
FBgn0035903,CG6765, 0.4 , 14.0 , 22.3 , 17.8 , 16.7 , 19.2 , 22.7 , 16.3 ,2.42,5.23,4.54,4.26,3.89,1.84,1.54,4.94,1.61,1.54,4.94,4.34,3.86,0.76,1.69,1.58,1.70,0,6,Elongation regulated,Above 2-fold,No
FBgn0039217,CG13627, 0.1 , 27.9 , 36.1 , 32.6 , 10.9 , 22.4 , 20.5 , 80.6 ,1.37,1.28,1.13,3.80,1.21,2.37,0.37,0.87,3.18,0.37,3.80,-0.13,-0.41,0.09,-0.04,0.35,0.20,0,4,Unclassified,Above 2-fold,Yes
FBgn0035756,unc-13-4A, 0.0 , 10.2 , 17.7 , 13.2 , 13.3 , 16.9 , 20.4 , 14.2 ,2.56,5.32,4.66,3.66,3.56,1.28,1.62,4.09,0.40,0.40,4.09,3.25,1.78,0.64,2.60,1.06,2.02,0,5,Unclassified,Above 2-fold,Yes
FBgn0040281,Aplip1, 0.1 , 19.3 , 20.8 , 15.4 , 16.4 , 19.2 , 17.9 , 13.8 ,0.36,2.27,1.30,1.67,1.74,0.31,0.05,2.57,-0.38,-0.38,2.57,3.09,2.24,0.66,0.41,0.16,0.21,1,3,Recruitment regulated, Low,Yes
FBgn0051547,CG31547, 0.5 , 33.4 , 22.1 , 24.6 , 40.8 , 23.5 , 20.4 , 47.0 ,2.26,3.89,3.52,0.98,0.45,1.27,1.44,0.44,1.05,0.44,1.44,3.72,1.23,1.79,3.68,2.58,2.96,0,3,Unclassified,Above 2-fold,Yes
FBgn0004168,5-HT1A, 0.2 , 9.1 , 15.9 , 13.9 , 12.5 , 18.1 , 20.4 , 13.8 ,2.46,5.23,4.77,3.22,2.56,0.17,0.73,2.91,0.40,0.17,3.22,3.15,0.92,0.35,1.03,0.85,0.73,0,3,Unclassified,Above 2-fold,Yes
FBgn0035179,CG12038, 0.5 , 13.3 , 21.9 , 13.4 , 12.0 , 19.1 , 15.9 , 12.7 ,0.48,2.69,1.84,2.51,1.93,0.07,-0.97,2.59,0.80,-0.97,2.59,0.96,-0.07,0.55,0.71,1.06,0.82,1,3,Recruitment regulated, Low,Yes
FBgn0033524,Cyp49a1, 0.7 , 20.2 , 24.3 , 50.6 , 32.6 , 19.1 , 33.6 , 32.0 ,3.64,3.30,3.84,3.04,0.62,3.35,2.63,0.57,0.68,0.57,3.35,3.85,0.90,2.42,1.88,3.79,2.09,0,3,Unclassified,Above 2-fold,No
FBgn0039094,CG10184, 0.8 , 25.7 , 19.2 , 21.2 , 29.5 , 20.9 , 20.3 , 27.4 ,3.34,4.16,4.48,2.15,-0.38,2.02,3.37,-0.88,1.43,-0.88,3.37,3.78,1.49,1.88,3.24,1.81,1.65,2,4,Recruitment regulated,Above 2-fold,Yes
FBgn0027571,CG3523, 0.8 , 94.8 , 52.0 , 37.3 , 75.8 , 67.8 , 20.3 , 36.1 ,5.34,6.64,6.39,5.15,4.02,3.96,4.86,4.26,3.03,3.03,5.15,7.05,4.95,4.49,6.76,5.76,6.71,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0029851,CG14445, 0.1 , 19.7 , 20.9 , 59.3 , 17.9 , 18.9 , 18.2 , 15.4 ,0.15,-0.29,-0.14,-1.19,-0.27,-0.40,-4.62,-0.30,-0.12,-4.62,-0.12,0.80,-1.29,0.66,-0.47,1.73,0.57,6,0,No Pol II, Low,Yes
FBgn0015032,Cyp4c3, 0.1 , 32.3 , 58.1 , 13.7 , 75.4 , 22.2 , 20.0 , 37.9 ,1.96,2.01,2.00,0.59,-0.35,0.70,-1.28,-0.64,-0.06,-1.28,0.70,3.42,0.18,3.17,2.04,3.87,0.87,4,0,No Pol II,Above 2-fold,Yes
FBgn0052036,CG32036, 0.7 , 43.3 , 30.4 , 41.7 , 17.1 , 18.7 , 22.8 , 19.7 ,0.11,-1.44,-1.05,2.58,-0.83,1.38,-0.90,-0.14,-0.36,-0.90,2.58,-0.14,0.08,0.62,-0.02,0.55,0.27,4,2,Recruitment regulated, Low,Yes
FBgn0030508,CG15760, 0.2 , 7.0 , 12.8 , 11.1 , 8.6 , 12.4 , 20.0 , 13.0 ,2.49,5.18,4.51,3.88,3.36,1.63,1.97,4.32,1.22,1.22,4.32,2.14,1.54,1.25,2.95,1.49,1.99,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0038135,CG8773, 0.6 , 45.1 , 16.0 , 23.5 , 42.1 , 18.2 , 19.9 , 39.6 ,1.35,2.97,2.54,-1.76,-2.00,-0.56,-1.10,-1.40,-1.72,-2.00,-0.56,0.43,-0.64,0.48,1.34,0.73,1.21,6,0,No Pol II,Above 2-fold,Yes
FBgn0010223,Galphaf, 0.2 , 10.1 , 10.1 , 18.9 , 25.5 , 11.6 , 19.8 , 37.1 ,3.54,4.52,4.26,1.31,0.31,1.73,2.87,-0.73,1.42,-0.73,2.87,5.68,4.80,2.59,4.26,3.21,3.39,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0050480,CG30480, 0.0 , 20.6 , 11.0 , 11.1 , 13.3 , 15.0 , 19.8 , 24.6 ,1.36,1.85,1.11,0.46,-0.63,-1.19,-1.15,-0.36,-0.26,-1.19,0.46,2.38,0.49,1.40,2.72,2.69,2.60,5,0,No Pol II,Above 2-fold,Yes
FBgn0034788,CG13532, 0.1 , 6.1 , 18.0 , 7.7 , 6.6 , 9.7 , 19.7 , 8.4 ,1.56,3.76,2.95,2.87,2.47,0.88,0.12,3.30,-0.58,-0.58,3.30,2.38,0.93,0.16,0.98,1.01,1.15,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0034883,CG17664, 0.4 , 101.0 , 18.6 , 23.4 , 25.4 , 18.6 , 23.4 , 37.5 ,2.30,2.97,2.11,0.03,0.15,-1.19,0.70,-0.58,-0.27,-1.19,0.70,1.68,0.34,0.92,1.47,0.36,0.84,3,0,No Pol II,Above 2-fold,No
FBgn0265186,CG44251, 0.5 , 34.3 , 11.7 , 17.3 , 21.4 , 9.9 , 19.7 , 37.3 ,2.86,3.19,3.17,0.87,-1.17,1.36,2.18,-0.47,0.07,-1.17,2.18,2.72,0.61,2.11,2.82,3.09,2.42,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0051076,CG31076, 0.2 , 19.5 , 14.1 , 27.7 , 24.1 , 20.0 , 19.5 , 36.5 ,3.50,3.35,3.30,2.47,-0.79,2.42,0.42,-0.93,1.54,-0.93,2.47,2.89,1.19,0.99,0.93,1.34,0.73,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0037676,CG8861, 0.2 , 13.8 , 17.5 , 13.7 , 10.7 , 18.6 , 19.4 , 15.7 ,1.35,3.51,3.14,2.47,2.88,0.78,1.72,3.32,1.12,0.78,3.32,1.56,0.65,0.84,1.97,1.56,1.47,0,5,Unclassified,Above 2-fold,Yes
FBgn0002930,nec, 0.1 , 20.4 , 26.6 , 10.6 , 16.2 , 18.5 , 7.8 , 10.8 ,2.34,3.37,3.15,0.36,-0.55,1.11,0.91,-0.46,-1.96,-1.96,1.11,3.88,2.28,1.59,1.25,1.84,0.53,3,1,Recruitment regulated,Above 2-fold,No
FBgn0041712,yellow-d, 0.3 , 11.9 , 15.7 , 13.0 , 27.2 , 18.4 , 14.9 , 23.8 ,0.73,1.29,1.88,0.87,-0.12,0.12,0.65,-1.32,-0.48,-1.32,0.87,1.85,0.29,0.59,0.45,0.87,0.50,3,0,No Pol II, Low,Yes
FBgn0037447,Neurochondrin, 0.6 , 79.9 , 34.0 , 44.2 , 19.6 , 47.1 , 19.4 , 24.0 ,3.74,2.24,3.28,-1.23,-0.52,-0.20,2.94,-0.62,-0.03,-1.23,2.94,2.29,0.47,1.09,1.18,1.59,0.84,5,1,Recruitment regulated,Above 2-fold,Yes
FBgn0037016,CG13252, 0.9 , 20.4 , 14.8 , 18.6 , 18.9 , 15.6 , 19.3 , 32.3 ,4.33,5.28,5.35,4.69,1.82,3.99,3.74,1.06,3.37,1.06,4.69,6.70,5.18,4.24,4.64,4.05,2.67,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0028482,CG16857, 0.0 , 23.6 , 29.9 , 59.3 , 14.1 , 24.8 , 19.3 , 14.4 ,2.32,2.83,2.55,1.54,1.69,0.02,0.27,0.69,0.38,0.02,1.69,1.27,-0.06,0.09,0.73,0.67,0.41,0,2,Unclassified,Above 2-fold,Yes
FBgn0030617,CG9095, 0.5 , 15.1 , 24.0 , 33.2 , 15.7 , 19.3 , 19.2 , 52.7 ,2.69,1.81,2.54,4.47,0.50,3.71,1.22,0.11,3.29,0.11,4.47,1.71,-0.11,0.69,0.90,0.77,0.22,0,4,Unclassified,Above 2-fold,Yes
FBgn0030590,CG9518, 0.2 , 16.8 , 27.4 , 27.3 , 18.2 , 18.0 , 20.6 , 44.8 ,2.54,1.69,0.82,3.39,-0.74,2.41,1.38,-0.46,1.54,-0.74,3.39,2.39,-0.68,1.02,-0.45,1.06,0.45,2,4,Recruitment regulated,Above 2-fold,No
FBgn0085354,CG34325, 0.3 , 24.4 , 16.2 , 17.3 , 20.1 , 17.9 , 15.9 , 20.1 ,2.60,3.71,4.20,1.13,0.59,1.64,1.71,0.20,2.07,0.20,2.07,1.17,-0.47,0.81,0.92,1.04,-0.63,0,4,Unclassified,Above 2-fold,No
FBgn0262972,CR43283, 0.1 , 10.7 , 16.0 , 10.9 , 7.2 , 17.9 , 27.8 , 7.0 ,-0.59,-0.35,-1.12,-1.58,-0.25,-0.26,-1.50,0.62,-0.49,-1.58,0.62,0.49,-0.01,-0.11,0.47,-0.31,0.32,5,0,No Pol II,  Below background,Yes
FBgn0033793,CG3955, 0.3 , 14.3 , 16.4 , 10.4 , 10.5 , 17.8 , 12.6 , 10.7 ,0.05,2.27,1.47,0.64,0.83,-0.49,-1.89,1.16,-0.41,-1.89,1.16,0.80,-0.41,0.16,-0.48,0.16,-0.49,3,1,Recruitment regulated, Low,Yes
FBgn0039075,CG4393, 0.2 , 14.9 , 18.4 , 19.0 , 15.2 , 24.0 , 19.2 , 16.3 ,3.02,4.36,3.90,3.83,3.40,2.08,3.54,4.03,2.60,2.08,4.03,3.54,1.83,1.13,1.58,2.07,1.35,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0263131,CG43373, 0.0 , 5.7 , 13.5 , 11.7 , 16.2 , 17.8 , 16.5 , 13.3 ,4.19,5.18,4.83,4.03,4.10,2.63,3.85,4.68,1.34,1.34,4.68,5.16,2.53,3.53,4.28,4.79,4.64,0,6,Elongation regulated,Above 2-fold,No
FBgn0035781,CG8560, 0.4 , 157.9 , 23.2 , 26.2 , 35.1 , 37.1 , 19.2 , 43.5 ,2.40,3.21,2.96,0.05,-0.48,0.29,-0.30,0.15,0.34,-0.48,0.34,3.02,1.05,2.41,3.24,3.12,3.54,2,0,No Pol II,Above 2-fold,Yes
FBgn0032741,Side, 0.1 , 10.5 , 20.8 , 13.0 , 11.6 , 16.9 , 19.1 , 11.7 ,3.42,6.17,5.47,4.61,4.24,2.03,2.36,4.89,1.76,1.76,4.89,2.19,0.52,0.96,1.81,1.36,1.60,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0050345,CG30345, 0.5 , 8.2 , 18.4 , 19.5 , 36.0 , 15.7 , 19.1 , 35.2 ,1.83,3.16,2.85,-0.61,-0.32,-0.43,1.15,-1.00,-0.21,-1.00,1.15,2.57,1.08,1.52,2.10,2.10,2.64,5,1,Recruitment regulated,Above 2-fold,Yes
FBgn0036834,CG6836, 0.1 , 17.0 , 23.4 , 23.3 , 16.0 , 11.1 , 19.0 , 27.1 ,3.31,2.57,2.75,4.57,0.52,3.60,2.25,0.58,1.65,0.52,4.57,3.27,0.37,2.08,1.42,2.83,1.26,0,4,Unclassified,Above 2-fold,Yes
FBgn0085360,CG34331, 0.2 , 24.4 , 19.3 , 4.7 , 10.9 , 17.5 , 2.5 , 6.5 ,0.77,2.89,2.09,-0.91,-1.27,-1.47,1.40,-0.85,-2.32,-2.32,1.40,1.37,0.95,0.18,1.39,0.32,0.91,5,1,Recruitment regulated, Low,Yes
FBgn0038292,CG3987, 0.7 , 31.9 , 8.7 , 19.5 , 19.3 , 17.5 , 23.6 , 32.0 ,1.78,2.29,2.23,0.23,0.40,2.02,1.57,0.86,0.96,0.23,2.02,1.96,-0.27,0.86,1.85,0.71,1.45,0,2,Unclassified,Above 2-fold,No
FBgn0034136,DAT, 0.1 , 11.8 , 17.6 , 37.3 , 22.0 , 17.4 , 24.0 , 20.6 ,0.42,0.68,0.61,2.62,1.08,2.06,2.70,1.19,0.25,0.25,2.70,3.17,0.48,2.37,2.40,3.31,2.14,0,5,Unclassified, Low,Yes
FBgn0039617,CG14521, 0.1 , 7.3 , 16.5 , 11.0 , 10.6 , 15.2 , 19.0 , 12.3 ,1.80,5.03,4.31,3.87,3.34,1.07,1.94,3.90,0.45,0.45,3.90,1.84,0.97,-0.15,0.38,0.07,-0.27,0,5,Unclassified,Above 2-fold,Yes
FBgn0003499,sr, 0.5 , 12.7 , 16.2 , 27.7 , 16.4 , 22.3 , 19.0 , 13.5 ,4.44,5.02,5.10,5.07,3.60,3.43,3.95,3.98,2.70,2.70,5.07,6.24,3.67,2.80,3.33,4.13,4.30,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0259236,comm3, 0.5 , 17.1 , 21.6 , 13.3 , 27.9 , 17.2 , 16.2 , 14.9 ,0.42,-0.28,-0.23,0.38,0.30,0.19,0.71,-0.11,0.39,-0.11,0.71,0.73,0.17,1.02,0.90,0.83,0.55,1,0,No Pol II, Low,Yes
FBgn0013973,Gycbeta100B, 0.1 , 9.7 , 16.2 , 13.6 , 13.9 , 17.2 , 18.8 , 12.2 ,2.41,5.07,4.51,2.62,3.57,0.97,1.88,4.31,0.84,0.84,4.31,2.33,1.30,1.11,2.68,2.82,2.24,0,4,Unclassified,Above 2-fold,Yes
FBgn0034135,Syn2, 0.2 , 8.0 , 12.5 , 13.3 , 9.0 , 17.3 , 18.7 , 12.1 ,3.85,5.53,4.75,4.34,3.83,1.60,3.34,4.57,2.03,1.60,4.57,4.26,3.28,1.15,2.26,1.46,1.29,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0051690,CG31690, 0.1 , 9.6 , 17.1 , 12.5 , 16.1 , 17.0 , 18.7 , 17.8 ,3.73,5.57,5.12,3.62,3.81,2.03,3.41,4.34,2.11,2.03,4.34,3.04,0.92,0.66,1.54,0.53,0.67,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0038880,SIFaR, 0.7 , 6.7 , 12.4 , 8.3 , 7.7 , 9.6 , 18.6 , 10.9 ,2.13,4.72,4.02,1.11,2.46,0.28,0.89,2.98,-1.24,-1.24,2.98,1.81,0.16,0.17,0.99,0.23,0.90,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0011288,Snap25, 0.2 , 5.5 , 10.2 , 13.2 , 8.1 , 17.0 , 21.3 , 10.7 ,-0.98,0.51,0.61,1.69,1.50,-0.10,0.14,1.84,1.27,-0.10,1.84,0.52,0.39,0.74,1.20,0.17,0.62,1,4,Recruitment regulated,  Below background,Yes
FBgn0039151,CG13607, 0.1 , 8.4 , 8.1 , 7.2 , 11.4 , 6.7 , 18.6 , 24.9 ,1.75,3.37,3.02,-0.53,0.15,-0.16,1.79,-0.80,-0.79,-0.80,1.79,1.76,0.55,1.23,3.07,1.05,1.81,4,1,Recruitment regulated,Above 2-fold,Yes
FBgn0051080,TwdlH, 0.1 , 37.4 , 37.2 , 16.0 , 39.5 , 8.3 , 18.6 , 15.3 ,2.63,0.07,-1.55,2.68,-0.04,1.34,-0.17,0.11,-0.29,-0.29,2.68,0.43,0.09,0.25,-0.76,1.10,0.15,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0029838,CG4666, 0.4 , 83.7 , 38.7 , 39.5 , 20.1 , 23.5 , 18.4 , 28.9 ,3.63,2.43,3.06,2.79,0.14,3.41,2.81,0.84,2.60,0.14,3.41,0.75,-0.76,0.24,-0.44,0.22,-0.22,0,4,Unclassified,Above 2-fold,Yes
FBgn0038072,CG6225, 0.2 , 16.6 , 26.9 , 46.1 , 21.0 , 32.9 , 18.3 , 18.5 ,3.73,3.46,3.32,2.68,0.59,2.95,3.50,0.41,2.03,0.41,3.50,5.03,3.44,2.15,2.14,2.47,1.69,0,4,Unclassified,Above 2-fold,Yes
FBgn0033129,Tsp42Eh, 0.1 , 19.5 , 22.6 , 13.2 , 13.1 , 46.0 , 18.3 , 12.9 ,2.75,1.66,1.50,0.82,-1.38,-0.81,1.85,-1.68,-1.08,-1.68,1.85,2.14,-0.13,1.37,0.63,1.84,0.51,4,1,Recruitment regulated,Above 2-fold,Yes
FBgn0038165,Task6, 0.2 , 10.1 , 18.6 , 13.3 , 13.7 , 16.6 , 22.3 , 15.5 ,0.10,2.93,2.11,2.06,2.30,-0.08,1.12,2.55,0.66,-0.08,2.55,3.75,2.50,3.29,5.23,3.12,3.52,1,4,Recruitment regulated, Low,Yes
FBgn0038682,CG5835, 0.3 , 20.1 , 11.5 , 19.5 , 16.9 , 12.0 , 18.2 , 25.8 ,4.45,4.84,4.74,5.22,2.78,4.55,4.50,1.84,3.71,1.84,5.22,4.36,2.03,3.52,4.32,4.48,4.40,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0010015,CanA1, 0.4 , 10.2 , 33.3 , 15.7 , 18.7 , 46.2 , 18.2 , 16.3 ,2.69,1.63,2.44,-1.07,-0.40,-1.31,1.29,-1.40,-1.43,-1.43,1.29,2.74,0.85,1.15,0.71,1.84,0.51,5,1,Recruitment regulated,Above 2-fold,Yes
FBgn0037129,CG14565, 0.3 , 36.1 , 12.0 , 6.1 , 11.9 , 16.5 , 4.9 , 43.1 ,0.25,1.23,-0.94,-0.56,-0.16,-0.79,-2.06,0.15,-0.47,-2.06,0.15,1.87,-0.37,2.09,1.65,3.78,2.39,5,0,No Pol II, Low,Yes
FBgn0038412,Zip89B, 0.5 , 25.7 , 16.6 , 15.9 , 20.4 , 12.1 , 18.2 , 27.4 ,4.63,5.59,5.55,4.36,-0.13,3.76,3.31,0.67,2.76,-0.13,4.36,5.43,4.37,2.27,2.63,2.75,2.19,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0036116,CG7888, 0.3 , 25.5 , 24.6 , 29.8 , 38.3 , 18.9 , 18.2 , 29.0 ,3.77,4.22,3.85,2.75,0.55,2.15,0.54,0.03,0.70,0.03,2.75,5.18,1.68,3.19,3.90,3.92,3.27,0,2,Unclassified,Above 2-fold,Yes
FBgn0034605,CG15661, 0.3 , 7.8 , 18.1 , 17.6 , 28.1 , 9.4 , 18.1 , 7.0 ,1.06,2.39,2.25,1.08,0.60,0.34,1.16,0.73,-0.61,-0.61,1.16,0.74,0.01,0.71,1.79,0.99,1.34,1,2,Recruitment regulated,Above 2-fold,Yes
FBgn0039431,plum, 0.5 , 6.1 , 13.2 , 11.3 , 11.7 , 16.8 , 18.0 , 13.1 ,4.73,6.00,5.62,5.08,4.07,4.12,5.12,4.46,3.82,3.82,5.12,3.53,1.47,1.90,1.81,2.18,0.85,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0031568,CG10019, 0.1 , 6.3 , 14.0 , 11.5 , 9.5 , 16.5 , 18.0 , 11.8 ,4.91,5.79,5.63,4.33,4.31,2.93,4.30,4.85,2.30,2.30,4.85,4.85,2.69,1.36,1.68,2.14,1.35,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0051146,Nlg1, 0.2 , 6.2 , 15.6 , 16.3 , 12.9 , 31.4 , 17.9 , 13.3 ,4.47,3.17,3.57,0.68,-0.11,1.07,3.97,-0.55,1.10,-0.55,3.97,3.34,0.87,1.44,1.22,1.94,1.03,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0015577,alpha-Est9, 0.1 , 16.6 , 19.2 , 17.8 , 15.8 , 16.4 , 15.2 , 14.6 ,5.11,6.60,6.32,3.98,3.46,1.68,4.45,3.83,1.44,1.44,4.45,4.31,1.74,2.54,3.38,3.48,3.15,0,6,Elongation regulated,Above 2-fold,No
FBgn0038897,CG5849, 0.5 , 15.2 , 13.2 , 12.3 , 15.9 , 17.1 , 17.9 , 28.7 ,3.36,4.67,4.32,-0.63,-1.24,0.60,1.85,-1.53,-0.27,-1.53,1.85,3.57,1.92,1.10,2.72,1.94,2.87,4,1,Recruitment regulated,Above 2-fold,Yes
FBgn0051446,CG31446, 0.3 , 68.3 , 20.3 , 24.7 , 13.6 , 16.4 , 18.0 , 40.7 ,0.04,0.25,-0.34,-0.33,-0.28,-0.31,-0.31,0.59,-1.34,-1.34,0.59,-0.28,-0.17,0.35,0.56,1.36,0.62,5,0,No Pol II, Low,Yes
FBgn0040153,l(1)G0469, 1.0 , 8.6 , 12.9 , 23.0 , 14.3 , 11.0 , 17.9 , 24.9 ,4.81,6.02,5.61,5.40,3.92,4.38,4.40,4.15,3.74,3.74,5.40,7.05,4.95,3.85,4.63,4.91,4.75,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0036485,FucTA, 0.9 , 7.8 , 14.0 , 11.4 , 8.3 , 13.9 , 17.8 , 11.6 ,1.35,3.53,2.99,3.39,2.17,0.79,0.76,3.31,0.59,0.59,3.39,2.38,2.20,0.90,0.60,0.97,0.22,0,3,Unclassified,Above 2-fold,Yes
FBgn0263449,CR43472, 0.2 , 5.7 , 10.3 , 12.1 , 7.1 , 16.2 , 12.6 , 10.7 ,-0.42,-1.79,-0.98,-1.03,-0.62,-1.21,0.55,-2.21,-1.21,-2.21,0.55,0.02,-0.52,0.38,-0.61,0.59,-0.24,5,0,No Pol II,  Below background,No
FBgn0266566,CG45105, 0.2 , 12.6 , 19.0 , 13.8 , 16.1 , 16.2 , 16.7 , 14.0 ,-0.35,-1.97,-1.53,-0.51,-1.05,-0.21,0.16,-0.56,-0.63,-1.05,0.16,0.14,0.71,0.82,1.06,1.38,0.38,5,0,No Pol II,  Below background,No
FBgn0032945,CG8665, 0.6 , 20.9 , 12.3 , 12.2 , 37.3 , 21.7 , 17.8 , 36.3 ,2.74,3.69,3.96,1.79,0.34,1.36,3.65,-0.36,0.69,-0.36,3.65,4.36,2.65,3.71,5.34,4.07,4.60,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0036713,Mip, 0.8 , 11.5 , 10.7 , 16.6 , 6.8 , 16.1 , 12.8 , 11.3 ,0.43,0.77,0.58,0.93,0.93,0.26,0.48,1.87,1.18,0.26,1.87,1.23,-0.20,-0.48,0.92,0.01,0.93,0,2,Unclassified, Low,Yes
FBgn0050371,CG30371, 0.1 , 40.9 , 23.8 , 65.3 , 82.9 , 16.0 , 16.8 , 14.4 ,0.55,0.88,0.80,-0.77,-0.31,0.10,-1.67,-1.52,-1.32,-1.67,0.10,0.32,-0.34,-0.18,0.77,0.75,0.47,5,0,No Pol II, Low,Yes
FBgn0040554,CR17025, 0.6 , 8.0 , 17.7 , 18.9 , 15.6 , 16.0 , 17.9 , 15.4 ,2.19,3.92,3.30,2.84,2.59,0.32,3.51,1.17,0.70,0.32,3.51,1.36,0.77,1.05,2.64,0.37,1.73,0,4,Unclassified,Above 2-fold,No
FBgn0050195,CG30195, 0.4 , 69.8 , 29.6 , 23.7 , 18.6 , 37.1 , 17.8 , 22.1 ,3.50,3.07,3.23,0.05,0.14,-0.60,2.83,-1.34,0.31,-1.34,2.83,3.76,1.48,0.10,0.15,-0.05,-0.23,2,1,Recruitment regulated,Above 2-fold,Yes
FBgn0033587,CG13218, 0.3 , 169.7 , 21.4 , 24.0 , 67.0 , 16.0 , 15.1 , 37.4 ,-0.37,-2.45,-2.25,-2.88,-1.64,-2.49,-0.24,-1.70,-1.46,-2.88,-0.24,0.15,-0.78,0.23,-0.07,0.97,0.00,6,0,No Pol II,  Below background,Yes
FBgn0051663,CG31663, 0.0 , 12.2 , 13.5 , 64.4 , 11.5 , 16.0 , 18.3 , 18.7 ,0.70,0.92,0.17,-0.57,1.12,-0.24,0.65,0.01,0.41,-0.57,1.12,-0.31,-0.02,-0.41,0.34,0.74,-0.14,2,1,Recruitment regulated, Low,Yes
FBgn0262111,f, 0.3 , 6.4 , 18.3 , 29.2 , 13.0 , 15.9 , 24.3 , 17.6 ,1.07,1.40,1.63,0.08,-0.10,0.76,0.43,0.05,0.86,-0.10,0.86,0.93,0.00,0.81,0.32,1.35,0.11,1,0,No Pol II,Above 2-fold,No
FBgn0265595,CG44422, 0.1 , 6.3 , 11.4 , 12.0 , 10.1 , 14.9 , 17.7 , 11.0 ,2.42,4.44,4.09,3.93,3.42,1.43,3.31,4.30,1.25,1.25,4.30,3.02,1.37,1.19,1.84,1.25,1.13,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0039832,CG15563, 0.1 , 9.1 , 25.5 , 35.9 , 33.8 , 15.9 , 28.7 , 42.9 ,0.07,-0.43,-0.75,1.88,0.36,1.07,0.07,0.63,0.73,0.07,1.88,-2.46,0.29,0.04,-0.56,-0.58,-0.61,0,2,Unclassified, Low,Yes
FBgn0045038,Proc, 0.1 , 16.9 , 16.7 , 13.2 , 14.1 , 15.8 , 18.5 , 15.9 ,0.29,2.51,1.88,0.01,1.14,-0.54,-0.10,1.40,-1.04,-1.04,1.40,1.77,0.45,0.64,1.56,1.63,2.83,3,2,Recruitment regulated, Low,No
FBgn0038404,CG8925, 0.1 , 10.5 , 15.5 , 15.3 , 25.1 , 9.6 , 17.7 , 46.7 ,2.68,3.45,2.84,1.06,0.37,2.24,1.49,-0.19,1.02,-0.19,2.24,4.27,2.14,3.62,4.87,3.17,3.23,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0030634,CG9164, 0.1 , 10.8 , 13.9 , 12.1 , 10.0 , 18.6 , 17.6 , 11.8 ,3.33,5.31,4.74,3.00,2.94,1.50,1.95,3.49,1.29,1.29,3.49,3.34,1.04,1.76,2.68,2.16,2.33,0,6,Elongation regulated,Above 2-fold,Yes
