fb_gene_id,fb_symbol, early_FPKM , late_FPKM , epidermis_FPKM , glia_FPKM , gut_FPKM , muscle_FPKM , neuron_FPKM , trachea_FPKM ,polii.embryo14,polii.embryo17,polii.larvae,polii.epidermis,polii.glia,polii.gut,polii.muscle,polii.neuron,polii.trachea,min_tissue_tss_ratio,max_tissue_tss_ratio,tbp.embryo14,tbp.embryo17,tfiib.embryo14,tfiib.embryo17,tfiif.embryo14,tfiif.embryo17,below_bg_tissues,above_bg_tissues,polii_group_tissues,whole_embryo_pol_status,intact_diff_expression
FBgn0030340,CG15740, 0.2 , 179.5 , 146.8 , 158.1 , 112.1 , 98.7 , 109.9 , 148.2 ,2.15,-0.84,-1.94,3.73,-2.41,2.44,1.14,-0.12,-0.21,-2.41,3.73,1.80,0.15,0.98,-0.06,0.98,0.11,3,3,Recruitment regulated,Above 2-fold,Yes
FBgn0053547,Rim, 0.1 , 17.7 , 62.6 , 64.6 , 53.8 , 74.8 , 109.5 , 58.1 ,2.75,5.20,4.51,3.09,2.98,0.55,0.95,3.57,0.22,0.22,3.57,3.32,1.93,0.68,2.44,1.07,1.80,0,3,Unclassified,Above 2-fold,Yes
FBgn0035859,CG13678, 1.0 ," 1,070.6 ", 77.5 , 60.5 , 82.3 , 101.4 , 52.4 , 557.2 ,0.30,-2.48,-0.42,-0.39,-0.31,-0.97,-0.79,-0.97,0.71,-0.97,0.71,2.56,0.15,2.60,1.57,3.39,1.14,5,0,No Pol II, Low,Yes
FBgn0260499,qvr, 0.2 , 15.6 , 58.4 , 51.7 , 37.6 , 73.2 , 108.1 , 52.3 ,1.62,3.17,2.97,2.55,1.92,1.33,-0.56,2.81,1.52,-0.56,2.81,2.97,-0.12,1.93,1.16,2.95,0.52,1,5,Recruitment regulated,Above 2-fold,Yes
FBgn0034417,CG15117, 0.2 , 36.3 , 51.7 , 103.6 , 59.1 , 52.7 , 106.4 , 105.2 ,2.92,3.55,3.42,3.52,2.21,2.05,3.15,1.19,2.31,1.19,3.52,2.94,0.69,2.00,2.18,2.79,1.78,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0266758,Esyt2, 0.4 , 71.7 , 107.5 , 106.5 , 87.5 , 136.2 , 106.4 , 83.2 ,4.53,5.13,5.25,4.17,3.50,1.99,4.70,4.00,2.67,1.99,4.70,4.29,2.45,2.71,2.59,3.49,2.08,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0015570,alpha-Est2, 0.9 , 22.5 , 110.0 , 48.0 , 75.3 , 123.4 , 105.9 , 88.9 ,1.15,0.44,1.42,-2.05,0.06,0.15,0.76,0.28,0.16,-2.05,0.76,0.31,0.25,0.21,0.08,0.68,0.18,1,0,No Pol II,Above 2-fold,Yes
FBgn0036612,CG4998, 0.7 , 198.4 , 151.0 , 164.9 , 139.4 , 132.3 , 105.4 , 255.8 ,3.33,2.05,1.68,3.22,-0.85,3.33,0.36,-0.37,1.71,-0.85,3.33,3.71,0.43,1.93,2.27,2.80,1.69,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0052333,CG32333, 0.1 , 8.7 , 17.1 , 12.9 , 13.4 , 21.2 , 104.8 , 13.7 ,4.51,5.44,5.11,4.53,4.56,2.55,4.45,4.79,1.83,1.83,4.79,4.65,3.46,0.96,1.34,1.21,0.69,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0035076,Ance-5, 0.1 , 44.4 , 65.1 , 30.9 , 36.2 , 95.9 , 18.0 , 26.1 ,0.75,2.67,2.07,0.57,-0.71,-0.90,2.42,-0.68,0.17,-0.90,2.42,0.76,-0.07,0.41,2.31,1.38,2.29,3,1,Recruitment regulated, Low,Yes
