flybase_gene_id,flybase_symbol,poised.toll10b_02to04h,poised.mef2_06to08h,poised.mef2_08to10h,poised.mef2_10to12h,poised.mef2_14to17h,PcG_repressed.toll10b_02to04h,PcG_repressed.mef2_06to08h,PcG_repressed.mef2_08to10h,PcG_repressed.mef2_10to12h,PcG_repressed.mef2_14to17h,PcG_repressed.elav_14to17h,Poised_opening_set,Poised_constant_set,Poised_closing_set,Poised_regulated_set,Non_poised_regulated_set,Differential_K27_muscle,Differential_k27_neuron,Balanced_toll10b
FBgn0000313,chp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000316,cin,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000317,ck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000318,cl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000319,Chc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000320,eya,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
FBgn0000326,clt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000330,cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000337,cn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000338,cnc,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
FBgn0000339,cni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000346,comt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000351,cort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000352,cos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000356,Cp16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000357,Cp18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000358,Cp19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000359,Cp36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000360,Cp38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000363,cpo,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000370,crc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000376,crm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000377,crn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000382,csw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000384,cta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000392,cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000394,cv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000395,cv-2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000404,CycA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000405,CycB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000406,Cyt-b5-r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000409,Cyt-c-p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000411,D,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
FBgn0000412,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000413,da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000414,Dab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000416,Sap-r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000422,Ddc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000427,39416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000439,Dfd,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FBgn0000442,Pkg21D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000447,Dhod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000448,Hr46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000449,dib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000451,ect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000454,Dip-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000455,Dip-C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000459,disco,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000463,Dl,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000464,Lar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000472,dm,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000473,Cyp6a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000477,DNaseII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000479,dnc,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000482,dor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000489,Pka-C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000490,dpp,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
FBgn0000492,Dr,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000497,ds,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000499,dsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000500,Dsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000504,dsx,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FBgn0000520,dwg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000524,dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000527,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000529,bsh,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
FBgn0000533,ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000535,eag,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000536,eas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000541,E(bx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
