"","gene","var.in.ht","mean_exp_ht","var.in.ht_res","group"
"26","Aatf",1.14186130431044,0.27123355640309,-0.223463590907709,"others"
"27","aay",0.727148524426136,6.15111031585571,0.108832723910919,"others"
"28","ab",0.90908306205159,1.83485861543799,0.029894519494832,"others"
"29","ABCB7",1.08195584467085,0.18782764061104,-0.311645362423407,"others"
"30","abd-A",0.977720208287295,2.50133239026383,0.126409382744443,"others"
"31","Abd-B",1.37664874061691,2.66519318964872,0.548276745154771,"others"
"32","Abi",0.803839994460154,0.334002681739804,-0.539704262540707,"others"
"33","Abl",0.595400690942813,1.16705845947959,-0.418587708299051,"others"
"34","Abp1",1.90123038584318,0.124806931101894,0.55055689530803,"others"
"35","abs",1.32718974274146,0.117390713777913,-0.0704459269466013,"others"
"36","ac",1.40270565567079,0.736281755745376,0.24441964034032,"others"
"37","Ac13E",1.55980385269468,0.398118590479884,0.236092075037167,"others"
"38","Ac3",0.86246144178564,0.323413252013419,-0.482322001634981,"others"
"39","Ac76E",1.17093113812116,0.149597651332235,-0.221611812785524,"Bjoern evelopmental paused"
"40","Ac78C",1.89510205907173,0.117176875246149,0.495858208333478,"others"
"41","ACC",0.95052334032788,1.02202447241837,-0.0545239118421443,"others"
"42","AcCoAS",3.82592161803035,0.387477486180151,2.48784825689945,"others"
"43","Ace",0.932875171924711,1.32366227452683,-0.0759709293122861,"others"
"44","Acer",1.66019497487286,3.80940484121564,0.885938131369246,"others"
"45","Acf",1.39591378505724,0.294939809310053,0.0837392521798443,"others"
"46","Achl",0.817394621744052,1.04471201223748,-0.184786864515866,"others"
"47","acj6",1.07289835264433,1.22099007022084,0.0602321466114637,"others"
"48","Ack-like",1.01816989413035,0.14769236660108,-0.376488446229132,"housekeeping"
"49","Acn",0.635439633681927,0.945512211546005,-0.405104692426127,"others"
"50","Acon",0.659594493828044,1.81773210206773,-0.223087324525915,"others"
"51","Acox57D-p",1.20633636374913,0.230088986641535,-0.175305679115527,"others"
"52","Acp65Aa",1.96988912028608,0.132065689632799,0.583432425242546,"0 tissues"
"53","Acph-1",2.57404590610935,0.15812403645128,1.15842326311363,"others"
"54","Acsl",0.639283867785818,1.96931498525394,-0.220983415297575,"others"
"55","Act79B",3.12322543759867,0.758523961817028,1.96684451177306,"others"
"56","Actbeta",1.21349276132154,0.361600181669336,-0.13212740436102,"5-6 tissues"
"57","Actn",0.278832731777992,5.99898702731612,-0.346573417941823,"others"
"58","ACXD",1.1789470994344,0.101311568946579,-0.239949122535653,"others"
"59","Acyp2",0.831182828215385,1.57911684353673,-0.147313634887952,"others"
"60","Ada2b",0.94770441495475,0.214949143653336,-0.45720998936691,"others"
"61","Ada3",0.976141245798726,0.234032415256823,-0.387875350240824,"others"
"62","AdamTS-A",1.03181903614355,1.16235203722319,0.0177646538929406,"5-6 tissues"
"63","Adar",0.815495094819858,0.293271032641476,-0.496612777389535,"housekeeping"
"64","Adck",0.908851083765029,0.587265723700485,-0.257158048295753,"others"
"65","ADD1",1.29171559052066,0.261244271897166,-0.071966678693556,"others"
"66","ade2",0.88021888354219,0.164104385472729,-0.539221653007332,"others"
"67","ade3",0.708818779958193,0.618561259007668,-0.483754500971804,"others"
"68","ade5",0.540677280692913,1.59445374078271,-0.431701392452468,"others"
"69","AdenoK",2.19963623997554,0.533885393771971,0.954224258925806,"others"
"70","Adf1",0.663253634161075,0.573252692664011,-0.512637708246556,"others"
"71","Adgf-A",3.46509910994983,0.187515257846474,2.07237070876293,"Bjoern evelopmental paused"
"72","Adgf-C",1.72173404308538,0.285986970175223,0.390329448324623,"others"
"73","Adh",0.808289929147559,0.175367003886521,-0.560706104473317,"others"
"74","Adi1",1.25786165090025,0.177377494357621,-0.107834791533193,"others"
"75","AdipoR",0.512933129645911,1.90767600089145,-0.353467915494095,"others"
"76","Adk1",1.88991190604836,0.811144936753161,0.752086043483676,"others"
"77","Adk2",0.298816032534861,4.73945431128298,-0.404395826852884,"others"
"78","Adk3",1.40157133586418,0.279739157136342,0.0461846486080961,"others"
"79","adp",1.19305206111003,0.134271510877908,-0.214937760017089,"housekeeping"
"80","ADPS",0.805561713451228,0.680907183478847,-0.395339547540198,"others"
"81","AdSL",0.404674092376302,9.66516895913652,-0.0655000224889707,"others"
